worker	sentence	workeranswer
aggworker0	#0707	He obtained approval from the mayor in advance.
aggworker1	#0707	He had prior approval from the mayor.
aggworker2	#0707	He had obtained the mayor's approval in advance.
aggworker3	#0707	He got the mayor's approval in advance.
aggworker4	#0707	He was approved by the mayor in advance.
aggworker5	#0380	He's been thinking about the best diet methods.
aggworker6	#0380	he thinks about how to lose weight
aggworker7	#0380	He thinks of different ways to lose weight
aggworker8	#0380	He thinks of many diet methods.
aggworker9	#0380	He is trying to figure out how to lose weight.
aggworker2	#0338	He actively sends out and facilitates the exchange of parenting information within the community.
aggworker10	#0338	He actively transmits and exchanges child-rearing information in the area.
aggworker11	#0338	He actively transmits and exchanges information regarding child-rearing in the community.
aggworker12	#0338	He transmit and exchange information about parental caring actively in the area.
aggworker13	#0338	He actively sends out and exchanges child-rearing information in the community.
aggworker11	#0529	 I was intrigued by the soft feel on my teeth.
aggworker14	#0529	I was interested in the soft texture of the teeth.
aggworker4	#0529	I was interested in a soft sense of touch by teeth very much.
aggworker2	#0529	I was very interested in the soft texture of teeth.
aggworker15	#0529	I was interested in the soft texture that touched my teeth.
aggworker16	#0520	The current medical system has many problems.
aggworker2	#0520	There are many issues in the current healthcare system.
aggworker9	#0520	The current medical system has a lot of problems.
aggworker17	#0520	The current healthcare system is very problematic.
aggworker1	#0520	There are many problems with the current healthcare system
aggworker18	#0534	I always have influence for policymaking of the U.S. Government.
aggworker14	#0534	It has a certain influence on U.S. government policy decisions.
aggworker6	#0534	It has a certain influence for US government policy.
aggworker19	#0534	It has a certain degree of influence over US government decisions.
aggworker13	#0534	It has a certain influence on the policy making of the US government.
aggworker10	#0617	I can set weekly schedule easily.
aggworker6	#0617	Setting your weekly schedule is easy
aggworker14	#0617	We can easily set your weekly schedule.
aggworker9	#0617	It is easily to set a weekly schedule.
aggworker17	#0617	You can easily set your weekly schedule.
aggworker17	#0329	Our company handles all related work.
aggworker20	#0329	We do all other related work.
aggworker6	#0329	We perform all related work besides it
aggworker15	#0329	We handle all other related work.
aggworker4	#0329	We will perform all related tasks besides that.
aggworker2	#0283	It has the function of improving blood circulation.
aggworker7	#0283	It has a smoothing effect on blood pressure.
