worker	sentence	workeranswer
aggworker0	298	In fact, they are not a couple.
aggworker1	298	In reality they are not a couple.
aggworker2	298	To tell the truth, they are not married couple.
aggworker3	298	To tell the truth, they are not a couple
aggworker4	298	To tell the truth, they are not a married couple.
aggworker5	869	Take a closer look at this photo and find me in this.
aggworker6	869	Look carefully at this photo and find me.
aggworker7	869	Can you find me in this photo?
aggworker8	869	Look, and find me in this picture.
aggworker9	869	Look at this photo and find me.
aggworker6	23	If the road is not crowded, there is no problem.
aggworker10	23	You will be fine as long as the traffic isn't heavy.
aggworker11	23	There will be no problem as long as the traffic is not so heavy.
aggworker7	23	It's no problem if there's no traffic jam.
aggworker1	23	If there is no traffic, there is no problem.
aggworker11	672	He lost sight in one eye in a traffic accident.
aggworker12	672	He lost sight of one eye in a traffic accident.
aggworker5	672	He lost sight in one eye in a car accident.
aggworker13	672	He lost sight in one eye in a traffic accident.
aggworker14	672	Due to traffic accident,he lost eyesight of one eye.
aggworker4	822	My mother was very beautiful when she was young.
aggworker5	822	My mother when she was young was very beautiful.
aggworker15	822	When my mother was young, she was so beautiful.
aggworker1	822	My mother was very beautiful when she was young.
aggworker11	822	My mother was very beautiful, when she was young.
aggworker13	950	We would be grateful if you could help us.
aggworker4	950	I would be very happy if you helped us.
aggworker12	950	If you could help us, I would be very happy.
aggworker16	950	We would appreciate your cooperation.
aggworker11	950	If you help us, we are so happy.
aggworker17	148	As is often the case with her, she broke her promise.
aggworker18	148	She broke the promise as always.
aggworker5	148	As is often the case, she broke her promise.
aggworker19	148	She always breaks our promise.
aggworker20	148	As is often the case with her, she broke her promise.
aggworker7	809	I have to prepare for tomorrow night event.
aggworker21	809	I have to prepare for tomorrow tonight.
aggworker16	809	I have to get ready for tomorrow tonight.
aggworker0	809	I have to prepare for tomorrow tonight.
aggworker2	809	Tonight I have to get ready for tomorrow.
aggworker20	666	We had no choice but had to cancel the game due to rain.
aggworker22	666	I had no choice but to cancel the game due to rain.
aggworker23	666	We had to call off the game because of the rain.
aggworker24	666	I had to cancel the match because of the rain.
aggworker10	666	Due to the rain, the game had to be canceled.
aggworker25	1009	Please go ahead if I'm late.
aggworker4	1009	Please go without me if I'm late.
aggworker1	1009	If I am late, please leave first.
aggworker0	1009	If I'm late, please go first.
aggworker2	1009	If I am late, please leave first.
aggworker5	659	If you have $ 1 million, how would you spend it?
aggworker6	659	What would you do if you had a million dollars?
aggworker7	659	If you won 1 million dollars, what would you like to do?
aggworker26	659	What would you use if you had a million dollars?
aggworker11	659	If you have a million dollars, what would you do?
aggworker11	946	It is important to find a true friend when you are young.
aggworker7	946	It is very important to find a really good friend when you  are young age.
aggworker17	946	It is important to find a true friend when you are young.
aggworker6	946	It is important to find a true friend while you are young.
aggworker10	946	It is important to find true friends when you are young.
aggworker16	826	He often came to talk to me on sundays.
aggworker8	826	He often came to talk me on sunday.
aggworker18	826	He used to come here to chat on Sundays.
aggworker6	826	He came to speak even on Sunday.
aggworker27	826	He comes to talk with me on Sundays.
aggworker6	132	He writes to his parents once a month.
aggworker28	132	He always writes a letter to his parents at least once a month.
aggworker29	132	He writes a letter to his parents every month.
aggworker18	132	He never fail to write the letter to his parents every month.
aggworker10	132	He writes a letter to his parents every month.
aggworker5	75	If you want to succeed, you have to work hard.
aggworker30	75	It takes effort for you to succeed.
aggworker19	75	If you want to be success, you need to make efforts.
aggworker6	75	If you want to succeed, you have to work hard.
aggworker12	75	If you want to succeed, you have to work hard.
aggworker29	368	Coffee is too hot to drink for me
aggworker31	368	This coffee is too hot for me to drink.
aggworker20	368	This coffee is too hot to drink.
aggworker7	368	I cannot drink this coffee because it's too hot.
aggworker6	368	This coffee is too hot to drink.
aggworker18	219	It is not much difference whether you go today or tomorrow.
aggworker17	219	Whether you go today or not, it will not make much difference.
aggworker4	219	It doesn't make much difference if you go today.
aggworker1	219	It makes no difference if you go today.
aggworker6	219	It doesn't make a big difference where I went today.
aggworker18	256	When I was not here, please take care of my baby.
aggworker2	256	Please take care of my baby while I am away.
aggworker27	256	Please take care of my baby while I'm gone.
aggworker6	256	Take care of your baby while I'm not here.
aggworker29	256	Take care of your baby while I'm away.
aggworker25	418	He was very naughty when he was a boy.
aggworker18	418	He was very naughty when he was a child
aggworker11	418	He was very naughty when he was a boy.
aggworker22	418	He was very naughty when he was a little boy.
aggworker14	418	He was very naughty boy in childhood.
aggworker6	78	I was born in Osaka but grew up in Tokyo.
aggworker19	78	I was born in Osaka and grew up in Tokyo.
aggworker20	78	I was born in Osaka but I grew up in Tokyo.
aggworker4	78	I was born in Osaka, but grew up in Tokyo.
aggworker25	78	I was born in Osaka but grew up in Tokyo.
aggworker18	608	I'd like to get on the train bound for New York at 6 AM.
aggworker32	608	I want to take the train to New York departing at 6 am
aggworker17	608	I want to catch the train bound for New York at 6 o'clock.
aggworker14	608	I want to get and ride on a train to New York at 6:00.
aggworker1	608	I want to take the 6 o'clock train to New York.
aggworker5	727	If it rains tomorrow, the match will be cancelled.
aggworker22	727	If it is rainy tomorrow, the match will be canceled.
aggworker18	727	The game will be cancelled if it rains tomorrow.
aggworker7	727	The game will be cancelled if it's rain tomorrow.
aggworker19	727	The match will be canceled because it is rain tomorrow.
aggworker33	24	I was made to wait for two hours.
aggworker6	24	I've been waiting for two hours.
aggworker1	24	I kept waiting for 2 hours.
aggworker11	24	I was kept waiting for two hours.
aggworker10	24	I had to wait for two hours.
aggworker34	782	This is the most difficult book I've ever read.
aggworker5	782	This book is the most difficult I have ever read.
aggworker19	782	This is the most difficult book as I had ever read.
aggworker20	782	This is the most difficult book that I have ever read.
aggworker18	782	This is the most difficult book I've ever read.
aggworker18	610	Could you find a house with a small yard for me?
aggworker7	610	Would you please find a house with a small garden for me?
aggworker27	610	Could you help me find a house with a small garden?
aggworker5	610	Would you please find a house with a small garden?
aggworker4	610	Will you find a house with a small garden?
aggworker9	641	I don't like doing it, actually.
aggworker5	641	To be honest, I don't want to do it.
aggworker19	641	In the honest, I do not want to do it.
aggworker14	641	Actually, I don't want to do something
aggworker6	641	Actually I don't want to do that.
aggworker7	53	I will give you whole year value salary in advance.
aggworker20	53	 I will give you an allowance for the whole year in advance.
aggworker1	53	First, we will give you one year's allowance.
aggworker4	53	I'll give you one year's worth of pocket money in advance.
