sentence	sentence_in_source_language_Japanese	sentence_in_target_language_English
#0005	山田はみんなに好かれるタイプの人だと思う	I think that Yamada is the type everybody likes.
#0010	それは桃山時代前後の作品だと思います	I think this was made around the Momoyama Period.
#0011	それは昭和初期の映画だと思います	I think this movie is from the early Showa Period.
#0015	彼が常に上の存在であって欲しいと思います	I don't want to be better than him.
#0018	私は、五十時間もかかると、時間が惜しい気がする	"If I spend fifty hours, I feel like I wasted my time."
#0029	彼が計画案の提出期限を一年以内としました	He set a within-the-year deadline for the proposed plans.
#0034	３０．２％の方が販売員の意見を参考にする	30.2% of people take salesperson opinion into account.
#0038	認知症を患った人たちが共同生活をしている	People suffering from dementia are living together.
#0042	一定期間のパスポートの残存期間を必要とします	There should be a definite term remaining on the passport.
#0049	あなたが移し変えの時間を１秒にしました	You shortened the moving time to 1 second.
#0052	中学校の２年生が職場体験をしました	The junior high 8th graders went to observe workplaces.
#0063	予算の総額を２億２８４万円とする	The total budget is 2.84 million yen.
#0066	スタッフが作品づくりの手伝いをします	Our staff can help you create it.
#0067	臨床的研究の発展並びに診療レベルの向上を目的とする	Our purpose is improving the development of clinical approaches and the standards of medical practice.
#0070	委員会の人たちが、あいさつ運動をしました	Committee members conducted a greeting exercise.
#0074	子供たちの代表が親や祖父母の人たちにお礼の挨拶をした	The representative of the children expressed words of thanks for their parents and grandparents.
#0079	結構な数の会社に私がお願いの電話をした	I called quite a few companies to ask for that.
#0083	ダイヤの鑑定士の資格をもった人が検査をします	It will be examined by a qualified diamond appraiser.
#0099	女装を密かに楽しむ方を対象にします	It is targeted at those who secretly enjoy dressing in drag.
#0100	アフリカに関心のある人たちが、情報や意見の交換をします	Those who have interests in Africa exchange information and ideas with each other.
#0105	彼が建築会社で足場関係の仕事をしています	He is engaged in a scaffolding-related work at a construction company.
#0106	製品の設定を工場出荷時の設定にします	Reset the product to the factory default settings.
#0111	彼が一緒に夕食作りや菓子作りの手伝いをします	He helps to cook the dinner and desserts
#0129	担当スタッフが、職人さんと打合せをします	The people in charge will meet with the craftsmen.
#0135	何人もの人達が記念撮影をしました	Many people took photos to remember it by.
#0141	４人が、きのう、山田市長に受賞報告をしました	"Yesterday, 4 people reported the awards to Mayor Yamada."
#0143	彼が彼女の唇におはようのキスをする	He gave her a morning kiss on her lips.
#0151	ヨーロッパ方面の居住者の方には、商品の販売をしません	Merchandise is not sold to European residents.
#0156	ご家族の負担の軽減を目的にサービスの提供をします	We provide services to alleviate your family's burden.
#0157	二人の女優が男性ファンの目をくぎ付けにした	The two actresses firmly attracted male fans’ attention.
#0158	その契約をショッピングの会社がします	That contract is to be signed by the shopping company.
#0169	山田と佐藤が一緒に歌の練習をする	Yamada and Sato practice singing together.
#0171	山田さんと音声の人が時間の調整などをした	Mr. Yamada and the sound guy arranged the time and other details.
#0173	消費者が、クレジットカード会社に入会申込みをします	Consumers apply to the credit card company.
#0181	上司からの力強い言葉に眩暈がした	The boss' powerful words were dizzying
#0185	目の前の人たちが自分に期待をしている	People in front of me have expectations on me.
#0189	計画案の提出期限を、原則として一年以内としました	It was decided that plans should be submitted within one year.
#0193	彼が市長に事前協議の申請をします	He asks the mayor to make preliminary arrangements.
#0195	１年生が鍵盤ハーモニカの学習をしました	Students in the first grade learned how to play the harmonica.
#0196	１５００万人以上の人が海外旅行をします	More than 15 million people go on overseas trips.
#0204	家づくりで何も知らない人がこんな計算をします	Someone who didn't know anything about house-building would come up with a figure like that.
#0209	ずる賢い人間が、バカの大将の振りをする	Smart people pretend to be a dumb.
#0215	彼が各保険会社に資料請求をします	He requests information materials from each insurance company.
#0218	１日から１５日までが納税証明書の送信期間とする	The certificate of tax payment must be sent between the 1st and the 15th.
#0220	ほとんどの人がアクションの訓練をする	The majority of people have action training.
#0221	左翼及び反体制派の人たちが話し合いをした	The left-wingers and dissidents had a discussion.
#0223	何でも完璧にこなすと思っていた人が失敗をする	Even the one we thought could do it perfectly could mess up.
#0230	それを見ていた人が注意をしました	The person who saw it gave a warning.
#0232	パ・リーグファンの私自身が今からわくわくします	I'm getting excited as a Pacific League fan.
#0233	脾臓摘出は５歳までに５６％がする	56% of them had their spleens removed by the age of 5.
