sentence	sentence_in_source_language_Japanese	sentence_in_target_language_English
9	道路 を 横切 る とき は 車 に 注意 し なさ い 。	when you cross the street , watch out for cars .
22	サッカー は 日本 で 以前 より も 今 人気 が あ る 。	soccer is more popular in japan than it used to be .
23	車 が そんな に 混ん で な けれ ば 問題 な い で しょ う 。	we shouldn 't have any trouble if the traffic isn 't too heavy .
24	２ 時間 も 待た さ れ た 。	i was kept waiting for as long as two hours .
33	彼 は いつ も 父親 の 陰口 を 言 い ま す 。	he always speaks ill of his father behind his back .
43	行 き た い 学校 に 入れ て よ かっ た ね 。	congratulations on being accepted to the school you 've always wanted to go to .
53	一 年 分 の お こづかい を 先 に 渡 し て お く 。	i 'm going to give you a year 's worth of allowance all at once .
75	成功 する つもり なら 努力 し な けれ ば な ら な い 。	you have to make efforts if you are to succeed .
78	私 は 大坂 生まれ で す が 、 東京 で 育 ち ま し た 。	i was born in osaka , but brought up in tokyo .
80	あの 家 は まだ 買い手 が つ か な い 。	they still haven 't found a buyer for that house .
99	この 仕事 は 単純 な の で 子供 に も でき る 。	this work is simple enough for a child to do .
121	だれ も 彼 の 間違い を 指摘 する だけ の 勇気 が な かっ た 。	no one had the heart to say he was wrong .
130	誰 も こんな 辺鄙 な 村 に 我々 を 訪ね て こ な い 。	nobody ever comes to see us in this out-of-the-way village .
132	彼 は 必ず 一 度 月 に 一 回 両親 に 手紙 を 書 く 。	he never fails to write to his parents once a month .
140	彼 は 親切 に も 私 に 町 を 案内 し て くれ た 。	he was so kind as to show me around the town .
142	私 達 は 会合 を 次 の 日曜 まで 延期 する こと に 決め た 。	we decided to put off the meeting until next sunday .
148	彼女 に は よく あ る 事 だ が 、 約束 を 破 っ た 。	as is often the case with her , she broke her promise .
154	や り た い こと を 全部 する 時間 が な い の で す 。	i simply haven 't the time to do everything i want to do .
162	彼 は 言 っ た こと を し 損な っ た 。	he failed to do what he said he would do .
170	病院 まで １０ マイル も あ る 。	it is no less than ten miles to the hospital .
176	そんな ガツガツ 食べ な い で 、 もう ちょっと ゆっくり 食べ よ う よ 。	stop inhaling your food . you 'd better eat more slowly .
212	こんな 長 い 間 待 た せ て ごめん なさ い 。	i am sorry to have kept you waiting so long .
219	君 が 今日 い こ う と たいした 違い は な い だ ろ う 。	it will not make much difference whether you go today or tomorrow .
238	彼 は パリ へ 行 き 初めて 私 に 会 っ た 。	he went to paris , where he met me for the first time .
256	僕 が い な い 間 、 この 赤ちゃん を お 願 い する よ 。	keep an eye on the baby while i am away .
260	もし 見つか っ たら 彼 は ひど い 目 に あ う だ ろ う 。	it will go hard with him if he is found out .
298	実 を 言 う と 、 二人 は 夫婦 で な い の で す 。	to tell the truth , they are not husband and wife .
320	彼 は １０ 時 に ここ に 来 て １１ 時 に 帰 っ た 。	he came here at ten and went back at eleven .
334	彼女 は 試験 に 失敗 し な い よう に 一生 懸命 勉強 し た 。	she studied hard lest she should fail in the exam .
362	子供 が 生まれ て から めった に 彼 ら は 出かけ な い 。	they have scarcely gone out since the baby was born .
