worker	sentence	label
nyantakun	279	That's what she doesn't want to express in a word.
nyantakun	848	How long will it take to be delivered?
nyantakun	22	First, her face just came up in my head.
nyantakun	504	He mistakenly put salt in his coffee.
nyantakun	728	He often goes to school late.
nyantakun	906	I'm going  to meet her again in the near future.
nyantakun	186	god knows.
nyantakun	481	Make sure you made a room reservation at the hotel.
nyantakun	708	I met a girl who I've seen her in the park last week.
nyantakun	916	It's too late to know the differences.
allearz33	467	I am glad because it is snowing a lot.
allearz33	893	It is 11 pm now, time for bed.
allearz33	788	There were times when I could not trust others.
allearz33	152	Mary broke into a cold sweat with the teacher's words.
allearz33	95	I want you to tidy up the room ASAP.
allearz33	301	You can contact him at his place tonight.
allearz33	253	These two politicians met with each other face to face for the first time.
allearz33	306	We walked several minutes to come to the park.
allearz33	261	It is too heavy for me to hold.
allearz33	104	The aircraft from Chicago arrived at the airport late at nigh.
hanahana55	380	The boys often tricked on the teacher.
hanahana55	565	I am going to help my father's work.
hanahana55	33	She take me on the tour in town kindly.
hanahana55	671	He's known everybody in this town.
hanahana55	393	It's fun to travel by car.
hanahana55	429	It's best soaking in the bath tub when you're tired.
hanahana55	90	He hardly goes to watch movies.
hanahana55	805	Please take memo what she tells you.
hanahana55	931	He told me that he wants to quit the company.
hanahana55	745	The man who is waving to me is my uncle.
Camy007	553	I buy a ticket just a little.
Camy007	801	I went to the station to see my uncle.
Camy007	878	He only has best talent among my friends. 
Camy007	646	I always take a walk early in the morning.
Camy007	450	You can go to the station by any road.
Camy007	283	Don't give money more than required to a child.
Camy007	202	Harry was late for school, because of his accident.
Camy007	567	I stopped working for two or three houras to go to hospital.
Camy007	524	I don't want to go to outside without the coat, because today is such a cold.
Camy007	712	You have to read the book which is useful for you.
animalfan1984	17	I went to see him, he was out.
animalfan1984	555	Today is very hot, so we can swim in the ocean.
animalfan1984	378	Because I do not want to see myself who was at a loss anymore.
animalfan1984	373	It used to be like that in the past.
animalfan1984	51	Every day, I will be back by six o'clock.
animalfan1984	173	Since I started this work he is better off.
animalfan1984	196	I have no idea what she is going to do.
animalfan1984	334	It is certain that the plane will get there on time.
animalfan1984	363	The thief ran away to the station.
animalfan1984	87	I thought that I should not sit down.
nyantakun	888	I found a book which I lost yesterday.
nyantakun	549	Newspapers are very worth in today's world.
nyantakun	10	Let's go home before the heavy rain start.
nyantakun	309	She is very kindly carry my package.
nyantakun	288	I can't meet you due to rush work.
nyantakun	444	I met my classmate on the street yesterday.
nyantakun	128	Tom has been talking on the phone for an hour.
nyantakun	256	I owe you 1 dollar.
nyantakun	315	You'll be on time if it's not storm.
nyantakun	462	My pen is too old so I want a new one.
allearz33	123	After finished reading, return the book where it was.
allearz33	304	Not a single star could I see in the sky.
allearz33	624	He does not have ears to listen to his father at all.
allearz33	541	There happened to be a meeting that day.
allearz33	794	It has been a decade since I started living here.
allearz33	840	It is better talking to him.
allearz33	305	There are a countless number of fish in the ocean.
allearz33	159	The dictionary is useful and inexpensive on top of that.
allearz33	834	On Sundays, I would often wake up early and went fishing.
allearz33	875	I am going to have John reparing the clock.
akkun1	203	I'm going to New York next week.
akkun1	299	Do you think he enable to do the work?
akkun1	439	You consider that my thought is outdated.
akkun1	921	This car is not better than before it.
akkun1	927	I don't mean to say such so .
akkun1	655	Don't forget to wake me up at six  tomorrow morning.
akkun1	220	I usually have tow cap of coffee every morning.
akkun1	697	I didn't hard that I pretended my mother.
akkun1	910	I usually read a newspaper before breakfast.
akkun1	781	To tell the truth, I got married last year.
momo129	275	I've decided to become a journalist.
momo129	325	 It will rain today.
momo129	804	 In Japan it rain often in June.
momo129	415	By good luck, he was in time for the train.
momo129	358	This is the very book that I was looking for.
momo129	617	 If not careful, it is caught up in a problem.
momo129	542	He seldom, if ever, goes to the movies.
momo129	864	Please continue to practice after drinking the tea.
momo129	137	Please tell me how you go to the station.
momo129	667	I haven't heard a word from them in over four years.
syonk1117	853	As yet you have not swim year
syonk1117	318	Friend asked about your health letter
syonk1117	233	I read  best funny fantasy
syonk1117	822	Please tell me his house route
syonk1117	116	I can not agree new initiative
syonk1117	917	He has bikeandcar
syonk1117	626	He crying sad news
syonk1117	423	It is such the initiative execution
syonk1117	610	From staition to school walk 20minitue
syonk1117	391	This winter cold for the first time in ten years
allearz33	801	I just went to my uncle off to the station.
allearz33	834	On Sundays, I would often wake up early and go fishing.
allearz33	306	We walked several minutes to come to the park.
allearz33	804	In Japan, it rains the most in June.
allearz33	906	I am supposed to meet her again within the next few days.
allearz33	196	I have no idea what she is going to do.
allearz33	318	My friend wrote me and asked to see how I was doing.
allearz33	655	Don't forget to wake me up at 6 tomorrow morning.
allearz33	805	Please never fail to take memo about what she says.
allearz33	617	If you don't pay attention, you will get in trouble.
kopje	893	It's aready 11 o'clock, and time to sleep.
kopje	358	This is exactly the book I was looking for.
kopje	524	I don't want to go outside without a coat on such a cold day.
kopje	462	My pen is old. I want new one.
kopje	450	Whichever way you go, you will get to the station.
kopje	305	There are plenty of fish in the sea.
kopje	304	I couldn't see any stars in the sky.
kopje	788	I had been the person who do not trust anyone.
kopje	391	This is the coldest winter for the first time in ten years.
kopje	123	After you read the book, put it back where it was.
allearz33	22	Her face was the first thing that came to my mind.
allearz33	708	I came across with the girl I met at the park the other day.
allearz33	921	This car does not run as pleasant as it used to be.
allearz33	565	I am planning to engage with my father's job.
allearz33	203	I am supposed to go to New York next week.
allearz33	315	If it were not for the storm, I wold have made it on time.
allearz33	910	I always read newspaper before breakfast.
allearz33	415	Luckly, he was able to catch the train.
allearz33	283	Don't give money to a child than necessary.
allearz33	334	It is certain that the flight will be there on time.
kos12	626	He cried soon when he had heard the news.
kos12	931	He said me that he wants to quit the company.
kos12	481	Confirm whether you reserved the room on the hotel.
kos12	916	It's too late understanding the different.
kos12	864	Continue the practice after you drink tea.
kos12	363	The thief ran away to the station.
kos12	429	It's the best that taking the bath when tired.
kos12	256	If I pay you 1 dollar it is settled.
kos12	549	Newspapers are most valuable in today's world.
kos12	309	She carried my baggage kindly.
hanahana55	848	How long does it take to get there?
hanahana55	467	I'm happy that there's so much snow.
hanahana55	781	To tell you the truth, we got married last year.
hanahana55	173	He became wealthy since he starts this job.
hanahana55	822	Please tell me the way to his house.
hanahana55	373	Long ago, it seems like it was.
hanahana55	393	It's fun to take a trip by a car.
hanahana55	279	That's what she doesn't want to say.
hanahana55	888	I found a book that I lost yesterday.
hanahana55	927	There is no way I say that.
jiagui115	380	The boys sometimes do bad tihngs to a teacher.
jiagui115	504	He made a mistake that he put salt into coffee.
jiagui115	261	It is too heave for me to bring.
jiagui115	51	I go back home by 6pm everyday.
jiagui115	542	He never goes to see movies.
jiagui115	439	I think your idea is old.
jiagui115	233	This is the most interesting story I ever read.
jiagui115	33	She was very kind for me to show the town.
jiagui115	853	You are too young to go siwmming by yourself.
jiagui115	712	Read useful books to you.
c4nhnm	301	You can get in touch with him at his home tonight.
c4nhnm	624	He doesn't listen to his father at all.
c4nhnm	667	I hadn't been hearing from him for 4 years.
c4nhnm	378	I don't want to see myself at a loss anymore .
c4nhnm	423	You are intend to enforce your plan, are you?
c4nhnm	875	I would ask John to fix my watch.
c4nhnm	104	The flight from Chicago arrived at the airport late at night.
c4nhnm	10	Let's go home before the rain gets harder.
c4nhnm	553	Let me go to get my ticket.
c4nhnm	878	He is the only one who is talented in my friends.
sakki1201	541	It was happend meeting
sakki1201	253	The two politician toward the surface first time
sakki1201	555	We can swim at sea because hot
sakki1201	567	I interrupted work few hour to go to hospital
sakki1201	95	I hope cleaning room quickly
sakki1201	917	He has not only car but also bike 
sakki1201	152	Mary into a cold sweat for teachers word
sakki1201	840	It would better to talk him
sakki1201	646	I often walking early morning
sakki1201	159	The dictionary is so useful, and Inexpensive
Camy007	299	Do you think that he can do the task?
Camy007	288	I'm sorry to see you because of immediate work.
Camy007	128	Tom has talking already for one hours by phone.
Camy007	202	Harry was late for the yesterday class by accident.
Camy007	220	I always drink two cups of coffee in the morning.
Camy007	444	Few day ago, I met a classmate in the street.
Camy007	275	I made a fresh resolution that I will become a journalist.
Camy007	671	He is famous person in the city.
Camy007	90	He rarely go to movies.
Camy007	745	That is my uncle whos is waving to me.
allearz33	17	I went to see him, but he was not at home.
allearz33	186	When the time comes, that will take care of itself. 
allearz33	610	It takes 20 minutes from the station to the school on foot.
allearz33	794	It has been a decade since I started living here.
allearz33	87	I thought I was not supposed to seat.
allearz33	728	He is late for school often.
allearz33	116	Regarding the new plan, I cannot agree with you.
allearz33	137	Please show me how to get to the station.
allearz33	697	It was not hard to pretend like my mother.
allearz33	325	It will rain today.
nyantakun	822	Could you show me how to get to his house?
nyantakun	301	You can contact with him at his house tonight.
nyantakun	524	I don't want to go out without wearing a coat on such a cold day.
nyantakun	261	I can't handle this because it's too heavy.
nyantakun	186	Finger crossed.
nyantakun	256	It is enough if I pay you 1 dollar.
nyantakun	22	Her face just popped up in my mind.
nyantakun	288	I can't make time to meet you because of too much work.
nyantakun	283	Don't give too much money to your child.
nyantakun	152	Mary was very nervous when her teacher says something.
cocomon	931	He told me that he wants to quit his job.
cocomon	893	It is 11'o clock, and it is already bed time.
cocomon	745	The person who is waving at me is my uncle.
cocomon	159	The dictionary is useful and also not expensive.
cocomon	10	Let's go home before the rain gets heavier.  
cocomon	233	This is the most interesting story I have ever read.
cocomon	33	She kindly showed me around the town.
cocomon	555	We can swim in the ocean because it is hot today.  
cocomon	299	Do you think he can handle the job?
cocomon	794	It has been 10 years since I have lived here.
jiagui115	315	If it had not been storm, I would have been there on time.
jiagui115	128	Tom has talking on the phone for an hour.
jiagui115	834	I used to go fishing in early morning every Sunday.
jiagui115	391	It seems that this winter is the coldest in these ten years.
jiagui115	708	I met a girl whom I met at the park before.
jiagui115	87	I thought I must not sit down.
jiagui115	275	I decided to be a journalist.
jiagui115	712	Read useful books for you.
jiagui115	781	To say the truth,we have married last year.
jiagui115	565	I will work at my father's office.
admirable	617	If you don't take care, you will be in trouble.
admirable	17	I went to meet him, but he was out.
admirable	202	Hurry was late for lesson by accident.
admirable	429	You should be in bath, if you are tired.
admirable	318	I have gotten a letter if I am fine by my friend.
admirable	788	I could not trust others before.
admirable	90	He rarely goes to movie.
admirable	888	I found the book lost yesterday.
admirable	875	I will have John to repair my watch.
admirable	123	Return the book after reading.
kusamakura	137	Please tell me how to reach the station.
kusamakura	467	I'm happy because it snows lot.
kusamakura	853	You are too young to go swimming alone.
kusamakura	481	Confirm if you booked a hotel room.
kusamakura	916	It's too late to understand diffrence.
kusamakura	305	There are many fish in the sea.
kusamakura	203	I am scheduled to go to New York next week.
kusamakura	553	I'm going to buy the ticket for a moment.
kusamakura	279	It is the word that she doesn't want to speak.
kusamakura	504	He accidentaly took  salt in his coffee.
kos12	116	I cannot agree to you about the new plan.
kos12	917	He has not only the bike but also the car.
kos12	196	I cannot understand entirely that she is going to do.
kos12	549	Newspapers are most valuable in today's world.
kos12	541	There was the meeting accidentally in the day.
kos12	373	Like that was in the past.
kos12	610	It takes 20 minutes from the station to the school by walking.
kos12	921	This car cannot run smoothly than before.
kos12	393	It is happy to travel by car.
kos12	104	The airplane from Chicago arrived at airport in midnight.
truenoAE101	671	He is known to the people of the town.
truenoAE101	910	I always look through the newspaper before breakfast.
truenoAE101	878	There is talent in my friend's just him.
truenoAE101	927	No way, I'm not going so far as to say such a thing.
truenoAE101	848	How many days do you arrive.
truenoAE101	801	I have been to the station to see my uncle off.
truenoAE101	444	The other day I met an old friend in the street.
truenoAE101	624	He is not at all listen to what you say father.
truenoAE101	462	My pen is old. I want a new pen.
truenoAE101	864	Please continue practicing after drinking tea.
mosa1017	667	I haven't heard from you for more than four years.
mosa1017	415	Luckily, he was in time for the train.
mosa1017	646	I make it a rule to take a walk early in the morning.
mosa1017	655	Don't forget to wake me up at 6 AM tomorrow.
mosa1017	804	We have a lot of rain in June in Japan.
mosa1017	542	He never goes to the movies.
mosa1017	306	A few minutes' walk brought us to the park.
mosa1017	450	Whichever way you take, you'll get to the station.
mosa1017	334	It is certain that the plane will get there on time.
mosa1017	378	I don't want to see myself lost.
tomur106	51	I'll be back by 6 o'clock every day.
tomur106	626	As soon as he heard the news, he began to cry.
tomur106	358	This is the very book I've been looking for.
tomur106	325	It will rain today.
tomur106	220	I always drink two cups of coffee in the morning.
tomur106	304	Not a star was to be seen in the sky.
tomur106	567	I stopped working for a few hours to go to the doctor.
tomur106	840	You'd better talk to him.
tomur106	423	You are going to carry out the plan.
tomur106	906	I am going to see her again soon.
hiroshi1624	439	You regard my idea as old-fashioned.
hiroshi1624	309	She was kind enough to carry my baggage.
hiroshi1624	95	I'd like you to clean up my room quickly.
hiroshi1624	728	He is often late for school.
hiroshi1624	805	Be sure to take a note of what she says.
hiroshi1624	380	The boys would sometimes play tricks on the teacher.
hiroshi1624	253	The two politicians met face to face for the first time.
